tag,total_frequency,mean_importance_score,std_importance_score,num_datasets
div,11228,100.0,0.0,1
a,11102,98.87780548628429,0.0,1
li,7737,68.90808692554329,0.0,1
span,5554,49.465621660135376,0.0,1
p,1906,16.975418596366225,0.0,1
ul,1384,12.326327039543997,0.0,1
td,866,7.712860705379408,0.0,1
h3,846,7.534734592091201,0.0,1
h2,618,5.504096900605629,0.0,1
strong,440,3.918774492340577,0.0,1
tr,375,3.339864624153901,0.0,1
h4,292,2.6006412540078374,0.0,1
button,197,1.7545422158888495,0.0,1
h1,132,1.1756323477021733,0.0,1
b,129,1.148913430708942,0.0,1
form,121,1.0776629853936588,0.0,1
i,121,1.0776629853936588,0.0,1
nav,120,1.0687566797292483,0.0,1
table,113,1.0064125400783754,0.0,1
section,107,0.952974706091913,0.0,1
header,68,0.6056287851799074,0.0,1
footer,47,0.4185963662272889,0.0,1
th,42,0.3740648379052369,0.0,1
article,39,0.3473459209120057,0.0,1
em,37,0.3295333095831849,0.0,1
aside,26,0.23156394727467047,0.0,1
main,24,0.21375133594584966,0.0,1
ol,23,0.20484503028143927,0.0,1
h5,17,0.15140719629497684,0.0,1
h6,14,0.12468827930174563,0.0,1
blockquote,9,0.08015675097969362,0.0,1
